repo,dag_id,file,lambda_uniform,critical_path_uniform,cycle_condensed,cycle_tasks,cp_tasks,permalink
BaoBao1408/Data-Engineer-Projects,etl_pipeline_optimized,Airflow - DBT- Postgres/airflow/dags/etl_pipeline.py,1.0,2.0,etl_pipeline_optimized.run_dbt->etl_pipeline_optimized.run_dbt(p=1),etl_pipeline_optimized.run_dbt,etl_pipeline_optimized.incremental_load_to_staging -> etl_pipeline_optimized.run_dbt,https://github.com/BaoBao1408/Data-Engineer-Projects/blob/98e00d86f4a0c74b9537a01d0042cac73548213b/Airflow%20-%20DBT-%20Postgres/airflow/dags/etl_pipeline.py#L20
Beyyes/Titan,example_branch_dop_operator_v3,titan.ui/projects/airflow/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/Beyyes/Titan/blob/c10f8f2373f6028a5dfe770c76dc53c9cc271238/titan.ui/projects/airflow/airflow/example_dags/example_branch_python_dop_operator_3.py#L36
Beyyes/Titan,test_dag_v1,titan.ui/projects/airflow/dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Beyyes/Titan/blob/c10f8f2373f6028a5dfe770c76dc53c9cc271238/titan.ui/projects/airflow/dags/test_dag.py#L35
Beyyes/Titan,example_branch_dop_operator_v3,titan.workflow/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/Beyyes/Titan/blob/c10f8f2373f6028a5dfe770c76dc53c9cc271238/titan.workflow/airflow/example_dags/example_branch_python_dop_operator_3.py#L36
Beyyes/Titan,test_dag_v1,titan.workflow/dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Beyyes/Titan/blob/c10f8f2373f6028a5dfe770c76dc53c9cc271238/titan.workflow/dags/test_dag.py#L35
BigDataMatrix/DataPipeline,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/BigDataMatrix/DataPipeline/blob/068de6c1868631aa07ae0df87cfb106ee19e7bb9/airflow/example_dags/example_branch_python_dop_operator_3.py#L34
BigDataMatrix/DataPipeline,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/BigDataMatrix/DataPipeline/blob/068de6c1868631aa07ae0df87cfb106ee19e7bb9/dags/test_dag.py#L37
Chilliess/airflow-btl,example_branch_dop_operator_v3,airflow-core/src/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/Chilliess/airflow-btl/blob/461cca4110c2346170ea867dfe84810ba67d7bd5/airflow-core/src/airflow/example_dags/example_branch_python_dop_operator_3.py#L45
Chilliess/airflow-btl,test_dag_v1,docker-stack-docs/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Chilliess/airflow-btl/blob/461cca4110c2346170ea867dfe84810ba67d7bd5/docker-stack-docs/docker-examples/extending/embedding-dags/test_dag.py#L35
DE32-3rd-team2/airflow,Team2,dags/main.py,1.0,6.0,Team2.end->Team2.end(p=1),Team2.end,Team2.start -> Team2.get_db -> Team2.task.branch -> Team2.predict -> Team2.save.log -> Team2.end,https://github.com/DE32-3rd-team2/airflow/blob/f03aa522a235f4603086aed3a1b07c153ef773bc/dags/main.py#L12
DSDE-Project/job-portal,example_branch_dop_operator_v3,example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/DSDE-Project/job-portal/blob/8f86b31bbb3a564603cbed54a1af152bd7507cea/example_dags/example_branch_python_dop_operator_3.py#L49
DSandovalFlavio/airflow-cf,practica_MSPM_B_dag,3.4-practica_MSPM_dag copy 2.py,1.0,4.0,practica_MSPM_B_dag.start->practica_MSPM_B_dag.start(p=1),practica_MSPM_B_dag.start,practica_MSPM_B_dag.ingest_db -> practica_MSPM_B_dag.predict_analytics -> practica_MSPM_B_dag.alert_supervisor -> practica_MSPM_B_dag.end,https://github.com/DSandovalFlavio/airflow-cf/blob/d926f8f546e1c66e8158e9c319a41e55d86fff14/3.4-practica_MSPM_dag%20copy%202.py#L21
DmitriiDenisov/airflow-lab,branch_list_ex,dags_examples/branch_list_ex.py,1.0,2.0,branch_list_ex.dummy_task_1->branch_list_ex.dummy_task_1(p=1),branch_list_ex.dummy_task_1,branch_list_ex.condition -> branch_list_ex.dummy_task_1,https://github.com/DmitriiDenisov/airflow-lab/blob/a9082852a13db77d96b5e8dde2b9bd40e8fc1d0f/dags_examples/branch_list_ex.py#L39
DmitriiDenisov/airflow-lab,example_branch_dop_operator_v3_my,dags_examples/branch_operator_ex_3.py,1.0,2.0,example_branch_dop_operator_v3_my.dummy_task_1->example_branch_dop_operator_v3_my.dummy_task_1(p=1),example_branch_dop_operator_v3_my.dummy_task_1,example_branch_dop_operator_v3_my.condition -> example_branch_dop_operator_v3_my.dummy_task_1,https://github.com/DmitriiDenisov/airflow-lab/blob/a9082852a13db77d96b5e8dde2b9bd40e8fc1d0f/dags_examples/branch_operator_ex_3.py#L39
EKS-APP/apache-airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/EKS-APP/apache-airflow/blob/aa084a3f6e2edb761ddcfc4945f7a5c329ca0db5/airflow/example_dags/example_branch_python_dop_operator_3.py#L48
EKS-APP/apache-airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/EKS-APP/apache-airflow/blob/aa084a3f6e2edb761ddcfc4945f7a5c329ca0db5/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L34
Gleb01548/russian_wiki_view_db,load_data_wikiviews,dags/wikiviews/load_data.py,2.0,3.0,load_data_wikiviews.load_data->load_data_wikiviews.load_data(p=1),load_data_wikiviews.сheck_data -> load_data_wikiviews.load_data,load_data_wikiviews.load_to_postgres_trigger_clickhouse.time_check -> load_data_wikiviews.load_to_postgres_trigger_clickhouse.not_end_day -> load_data_wikiviews.load_to_postgres_trigger_clickhouse.success,https://github.com/Gleb01548/russian_wiki_view_db/blob/2a2810bbf2a0ba1a734812810577d7535bfd99a8/dags/wikiviews/load_data.py#L55
Gleb01548/russian_wiki_view_db,wikipedia_views_load_and_processing,dags/wikiviews/processing_data.py,2.0,3.0,wikipedia_views_load_and_processing.load_data->wikipedia_views_load_and_processing.load_data(p=1),wikipedia_views_load_and_processing.сheck_data -> wikipedia_views_load_and_processing.load_data,wikipedia_views_load_and_processing.check_end_day -> wikipedia_views_load_and_processing.trigger_send_message -> wikipedia_views_load_and_processing.send_message_telegram,https://github.com/Gleb01548/russian_wiki_view_db/blob/2a2810bbf2a0ba1a734812810577d7535bfd99a8/dags/wikiviews/processing_data.py#L55
KarthikKothareddy/AirFlow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/KarthikKothareddy/AirFlow/blob/faaf0b8b4467bcf5bff4a5b49086a9e02cb9c112/airflow/example_dags/example_branch_python_dop_operator_3.py#L31
KarthikKothareddy/AirFlow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/KarthikKothareddy/AirFlow/blob/faaf0b8b4467bcf5bff4a5b49086a9e02cb9c112/dags/test_dag.py#L30
MatrixManAtYrService/airflow-challenge,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/MatrixManAtYrService/airflow-challenge/blob/cef498efe9f4818e5f8e85c179ca730e84b31f4a/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
MatrixManAtYrService/airflow-challenge,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/MatrixManAtYrService/airflow-challenge/blob/cef498efe9f4818e5f8e85c179ca730e84b31f4a/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L30
MrE-Fog/airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/MrE-Fog/airflow/blob/8b69cb51cf8fa671cfc9681a4ccec1eca99862fd/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
MrE-Fog/airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/MrE-Fog/airflow/blob/8b69cb51cf8fa671cfc9681a4ccec1eca99862fd/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L34
Prashant15887/apache-airflow-2.10.4,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/Prashant15887/apache-airflow-2.10.4/blob/eef69fadf26a6b712bd276155b96721768121e4d/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
Prashant15887/apache-airflow-2.10.4,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Prashant15887/apache-airflow-2.10.4/blob/eef69fadf26a6b712bd276155b96721768121e4d/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L35
