dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
ALIS,airflow-platform-eng,0,1,"",,2,4971.0,,
Datahub_Cleanup,airflow-test-k8s,0,1,"",,1,21.7,,
SEAL,airflow-platform-eng,0,1,"",,2,121054.7,,
SLIS,airflow-platform-eng,0,1,"",,2,143706.2,,
active_reader_baseline_hourly,airflow-main,1,1,"'@hourly'",3600.0,713,190.4,max_active_runs,main/dags/active_reader_baseline/active_reader_baseline_dag.py:75
actor_label_pageviews_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,9176.9,,analytics_product/dags/actor_label_pageviews/actor_label_pageviews_daily_dag.py:26
actor_metrics_pageviews_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,9844.5,,analytics_product/dags/actor_label_pageviews/actor_metrics_pageviews_daily_dag.py:26
add_a_link_pipeline,,1,0,"None",,0,,,ml/dags/add_a_link_pipeline_dag.py:327
add_a_link_release_prod,,1,0,"None",,0,,,ml/dags/add_a_link_release_prod_dag.py:314
add_a_link_release_staging,,1,0,"None",,0,,,ml/dags/add_a_link_release_staging_dag.py:311
analyze_experiments_hourly,airflow-analytics-product,1,1,"'@hourly'",3600.0,710,1810.8,,analytics_product/dags/experiment_analytics/experiment_analytics_analyze_experiments_hourly_dag.py:37
annotate_oomed_skein_task_instances,airflow-analytics-test,1,1,"'@hourly'",3600.0,713,10.1,,analytics_test/dags/report_skein_oom.py:32
anomaly_detection_mobile_os_distribution_daily,airflow-main,0,1,"",,28,8369.2,,
anomaly_detection_traffic_distribution_daily,airflow-main,0,1,"",,28,8728.3,,
anomaly_detection_useragent_distribution_daily,airflow-main,0,1,"",,28,6316.2,,
anomaly_detection_useragent_distribution_daily_test,airflow-analytics-test,0,1,"",,27,3243.1,,
aqs_hourly,airflow-main,1,1,"'@hourly'",3600.0,712,6898.5,,main/dags/aqs/aqs_hourly_dag.py:51
aqs_hourly_test,airflow-analytics-test,1,1,"'@hourly'",3600.0,713,4939.4,,analytics_test/dags/aqs/aqs_hourly_dag.py:43
article_features,airflow-research,1,1,"'@daily'",86400.0,27,25936.8,,research/dags/article_quality_dag.py:81
article_quality_scores,airflow-research,1,1,"'@weekly'",604800.0,1,281140.3,,research/dags/article_quality_dag.py:127
article_topics,,1,0,"'@monthly'",2419200.0,0,,,research/dags/article_topics_dag.py:55
attribution_hourly,airflow-main,1,1,"'@hourly'",3600.0,707,407.1,max_active_runs,main/dags/attribution/attribution_hourly_dag.py:57
automoderator_activity_snapshot_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,171025.9,max_active_runs,analytics_product/dags/automoderator/automoderator_activity_snapshot_monthly_dag.py:101
automoderator_config_weekly,airflow-analytics-product,1,1,"'@weekly'",604800.0,1,167.5,,analytics_product/dags/automoderator/automoderator_config_weekly_dag.py:62
automoderator_monitoring_snapshot_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,26,18068.3,max_active_runs,analytics_product/dags/automoderator/automoderator_daily_snapshot_dag.py:90
automoderator_potential_vandalism_reverted_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,161972.9,max_active_runs,analytics_product/dags/automoderator/automoderator_potential_vandalism_reverted_monthly_dag.py:98
banner_activity_minutely,airflow-dev,0,1,"",,8,2608.0,,
base_features_pipeline,,1,0,"None",,0,,,research/dags/revert_risk_dag.py:81
browser_general_daily,airflow-main,1,1,"'@daily'",86400.0,28,8820.7,,main/dags/browser/browser_general_daily_dag.py:48
browser_metrics_weekly,airflow-main,1,1,"'@weekly'",604800.0,2,8841.0,external_task_sensor,main/dags/browser/browser_metrics_weekly_dag.py:94
canary_events,airflow-main,1,1,"'15 * * * *'",3600.0,691,44.2,,main/dags/canary_events/canary_events_dag.py:96
